number,latency,packet size,segment size,header size,trans speed
392,0.7550716400146484,4549,4400,149,48.196751237132936
393,0.77056884765625,4548,4400,148,47.21706582178218
394,0.8358955383300781,4549,4400,149,43.536540549914434
395,0.7417201995849609,4549,4400,149,49.064323744133716
396,0.8072853088378906,4550,4400,150,45.089387359716476
397,0.7634162902832031,4549,4400,149,47.669928534665836
398,0.7727146148681641,4548,4400,148,47.08594777414378
399,0.9033679962158203,4550,4400,150,40.29365679598839
400,0.7462501525878906,4549,4400,149,48.76648919105432
401,0.8246898651123047,4549,4400,149,44.1281038357907
402,0.8921623229980469,4548,4400,148,40.781816337787276
403,0.8013248443603516,4548,4400,148,45.40480712168997
404,0.7941722869873047,4548,4400,148,45.81373663644551
405,0.7483959197998047,4549,4400,149,48.62666810066901
406,0.7107257843017578,4550,4400,150,51.21525179469977
407,0.9741783142089844,4549,4400,149,37.35661066275085
408,0.7066726684570312,4548,4400,148,51.48635517408907
409,0.7650852203369141,4549,4400,149,47.56594302524151
410,0.7641315460205078,4549,4400,149,47.625307696723866
411,0.8273124694824219,4548,4400,148,43.97854660979827
412,0.797271728515625,4549,4400,149,45.64566721531101
413,0.7491111755371094,4550,4400,150,48.59091839592617
414,0.7319450378417969,4550,4400,150,49.73050996742671
415,0.9300708770751953,4548,4400,148,39.11959926582927
416,0.7102489471435547,4549,4400,149,51.238372328969454
417,0.8182525634765625,4550,4400,150,44.48504242424243
418,0.8690357208251953,4550,4400,150,41.885504965706446
419,0.7383823394775391,4549,4400,149,49.2861192018082
420,0.7653236389160156,4549,4400,149,47.55112497445482
421,0.8378028869628906,4549,4400,149,43.437424919749574
422,0.8862018585205078,4548,4400,148,41.056108887812755
423,0.9160041809082031,4548,4400,148,39.72034272149922
424,0.8208751678466797,4549,4400,149,44.33317199186756
425,0.9884834289550781,4548,4400,148,36.80790080463097
426,0.7803440093994141,4549,4400,149,46.63584209227009
427,1.0824203491210938,4548,4400,148,33.613558752422904
428,0.8757114410400391,4549,4400,149,41.55706810999183
429,0.7686614990234375,4550,4400,150,47.35504516129032
430,1.0089874267578125,4548,4400,148,36.059914162570884
431,0.9329319000244141,4550,4400,150,39.016781395348836
432,1.1873245239257812,4550,4400,150,30.65716176706827
433,0.8499622344970703,4548,4400,148,42.80660778008415
434,0.7581710815429688,4549,4400,149,47.99972049308176
435,0.8580684661865234,4549,4400,149,42.4115340839122
436,0.7669925689697266,4549,4400,149,47.44765656450109
437,0.9901523590087891,4550,4400,150,36.76201916686732
438,0.873565673828125,4550,4400,150,41.668303930131
439,1.2521743774414062,4549,4400,149,29.063044776846915
440,0.8831024169921875,4549,4400,149,41.20926327429806
441,0.8809566497802734,4550,4400,150,41.31871870094722
442,0.8547306060791016,4548,4400,148,42.56779825271967
443,0.9768009185791016,4549,4400,149,37.25631222064926
444,0.9257793426513672,4549,4400,149,39.30958309760495
445,0.995635986328125,4549,4400,149,36.551511295019154
446,0.9829998016357422,4550,4400,150,37.029508998302205
447,1.1289119720458984,4549,4400,149,32.2363487155227
448,1.4226436614990234,4549,4400,149,25.580544858052626
449,0.9093284606933594,4549,4400,149,40.02074230938647
450,0.8664131164550781,4549,4400,149,42.0030575586131
451,1.0004043579101562,4550,4400,150,36.385287321258346
452,0.8695125579833984,4549,4400,149,41.853334567589805
453,0.7939338684082031,4549,4400,149,45.83757092132132
454,0.7710456848144531,4548,4400,148,47.18786541001855
455,1.079559326171875,4550,4400,150,33.71746148409894
456,0.9379386901855469,4548,4400,148,38.79144807727504
457,0.7810592651367188,4549,4400,149,46.59313527716728
458,0.7457733154296875,4549,4400,149,48.79766981074169
459,1.0242462158203125,4549,4400,149,35.530519359404096
460,0.8294582366943359,4549,4400,149,43.87442114630641
461,0.8580684661865234,4549,4400,149,42.4115340839122
462,0.965118408203125,4550,4400,150,37.71557944664032
463,0.9872913360595703,4550,4400,150,36.86855001207437
464,0.8344650268554688,4549,4400,149,43.611174619428574
465,0.9679794311523438,4550,4400,150,37.604104827586205
466,0.9796619415283203,4548,4400,148,37.13934211146264
467,0.8807182312011719,4549,4400,149,41.32082056524093
468,0.9124279022216797,4550,4400,150,39.8935629997387
469,0.8962154388427734,4548,4400,148,40.597381414205906
470,0.9772777557373047,4548,4400,148,37.22994797170041
471,1.1699199676513672,4548,4400,148,31.099563223150604
472,0.9188652038574219,4549,4400,149,39.605373940840686
473,1.0142326354980469,4548,4400,148,35.873426595204506
474,0.8835792541503906,4549,4400,149,41.187024060442525
475,1.0008811950683594,4549,4400,149,36.35995978275369
476,0.9083747863769531,4550,4400,150,40.07156577427821
477,0.9262561798095703,4548,4400,148,39.28070958455598
478,0.9758472442626953,4549,4400,149,37.292722005375026
479,1.1076927185058594,4550,4400,150,32.86109892380542
480,1.0483264923095703,4550,4400,150,34.72200718671822
481,0.9708404541015625,4549,4400,149,37.48504694695481
482,1.004934310913086,4550,4400,150,36.221272977461446
483,0.9758472442626953,4548,4400,148,37.28452400097728
484,0.8738040924072266,4549,4400,149,41.64777930914052
485,1.1017322540283203,4548,4400,148,33.02435765764986
486,0.9937286376953125,4549,4400,149,36.62166774664108
487,1.0695457458496094,4550,4400,150,34.03313990191708
488,1.066446304321289,4549,4400,149,34.12454978046054
489,1.0266304016113281,4549,4400,149,35.448005380399444
490,1.0502338409423828,4548,4400,148,34.64371322043133
491,0.8234977722167969,4548,4400,148,44.18226888708743
492,1.0559558868408203,4549,4400,149,34.463560886881915
493,1.0395050048828125,4549,4400,149,35.00897045137614
494,0.8904933929443359,4549,4400,149,40.867231905756356
495,0.8006095886230469,4549,4400,149,45.45536365932102
496,1.470804214477539,4548,4400,148,24.73748690808883
497,1.1296272277832031,4549,4400,149,32.21593735078092
498,0.8740425109863281,4549,4400,149,41.6364187583197
499,1.1663436889648438,4550,4400,150,31.208639738348324
500,0.9777545928955078,4550,4400,150,37.228155474274566
501,0.965118408203125,4548,4400,148,37.699001169960475
502,0.8766651153564453,4550,4400,150,41.52098602121294
503,1.0504722595214844,4549,4400,149,34.64346599364502
504,1.2176036834716797,4548,4400,148,29.881644162130407
505,0.8628368377685547,4550,4400,150,42.18642321083172
506,1.1496543884277344,4548,4400,148,31.647772031522187
507,1.0228157043457031,4549,4400,149,35.5802123934732
508,1.096487045288086,4549,4400,149,33.189630608393124
509,0.8924007415771484,4549,4400,149,40.779885430937746
510,1.2488365173339844,4549,4400,149,29.14072378159603
511,1.2791156768798828,4548,4400,148,28.444651768126747
512,1.0058879852294922,4549,4400,149,36.17897870775066
513,1.0268688201904297,4549,4400,149,35.43977505641978
514,1.1959075927734375,4549,4400,149,30.430444810207337
